year,month,date,company,track,volume_desc,volume,round
2015,Oct,Oct 2015,小小牛,Early Childhood Edu.,200,200,Seed/Angel
2017,Aug,Aug 2017,offer先生/先胜科技,Vocational Edu.,200,200,Seed/Angel
2017,May,May 2017,小熊吉他,Holistic Edu.,200,200,Seed/Angel
2014,Mar,Mar 2014,好外教,Language Learning,200,200,Seed/Angel
2017,Nov,Nov 2017,无学网络,Edu. SaaS,200,200,Seed/Angel
2014,Apr,Apr 2014,万门大学,Vocational Edu.,200,200,Undiscloused
2018,Jun,Jun 2018,琴伴,Holistic Edu.,200,200,Seed/Angel
2017,Feb,Feb 2017,影享上大学,Higher Edu.,200,200,Seed/Angel
2018,May,May 2018,才鹿,Others,200,200,Seed/Angel
2017,Feb,Feb 2017,厦门斜杠,Vocational Edu.,200,200,Seed/Angel
2015,Jun,Jun 2015,校鹿,Study Abroad Services,200,200,Seed/Angel
2017,Nov,Nov 2017,啊哈编程,STEAM,200,200,Seed/Angel
2018,Jun,Jun 2018,青蚕教育,Edu. Informationization,200,200,Seed/Angel
2017,Jun,Jun 2017,家长慕课,Paid Knowledge,200,200,Seed/Angel
2018,Jan,Jan 2018,聚思教育,Holistic Edu.,200,200,Seed/Angel
2014,Aug,Aug 2014,实验楼,Vocational Edu.,200,200,Seed/Angel
2017,May,May 2017,百造教育PACEE派希,Holistic Edu.,200,200,Seed/Angel
2018,Jan,Jan 2018,爱来课,Edu. SaaS,200,200,Seed/Angel
2018,Feb,Feb 2018,谷力天空,Holistic Edu.,200,200,Seed/Angel
2018,Jun,Jun 2018,睿刻教育,Edu. Informationization,200,200,Seed/Angel
2017,Dec,Dec 2017,新生涯,K12,200,200,Seed/Angel
2016,Oct,Oct 2016,图样单词,Language Learning,200,200,Seed/Angel
2015,Sep,Sep 2015,新新家长,K12,200,200,Seed/Angel
2015,Aug,Aug 2015,蒲公英-博雅创智,Language Learning,200,200,Seed/Angel
2015,Aug,Aug 2015,babycan,Early Childhood Edu.,200,200,Pre-A
2018,May,May 2018,起向教育,Vocational Edu.,200,200,Seed/Angel
2017,Apr,Apr 2017,GitChat码字科技,Vocational Edu.,200,200,Seed/Angel
