year,month,date,company,track,volume_desc,volume,round
2016,Oct,Oct 2016,Huikedu,Higher Edu.,0,30000,C
2015,Mar,Mar 2015,Xiaozhan Jiaoyu,Language Learning,18473,18473,B
2015,Dec,Dec 2015,Xiaozhan Jiaoyu,Language Learning,53508,53508,C
2015,Mar,Mar 2015,Emerald Education,Vocational Edu.,6000,6000,A
2015,Dec,Dec 2015,Emerald Education,Vocational Edu.,15000,15000,B
2016,Nov,Nov 2016,Emerald Education,Vocational Edu.,20000,20000,C
2017,Jan,Jan 2017,Emerald Education,Vocational Edu.,30000,30000,C+
2014,May,May 2014,BOXFiSH,Language Learning,1300,1300,Seed/Angel
2015,Apr,Apr 2015,BOXFiSH,Language Learning,7800,7800,A
2016,Jan,Jan 2016,BOXFiSH,Language Learning,19500,19500,B
2016,Nov,Nov 2016,BOXFiSH,Language Learning,0,19500,B+
2018,May,May 2018,BOXFiSH,Language Learning,20000,20000,C
2015,Mar,Mar 2015,Liulishuo,Language Learning,13000,13000,B
2017,Jul,Jul 2017,Liulishuo,Language Learning,54400,54400,C
2015,Sep,Sep 2015,Sundata,Edu. Informationization,11000,11000,A
2016,Mar,Mar 2016,Sundata,Edu. Informationization,0,11000,Undiscloused
2016,Jun,Jun 2016,Sundata,Edu. Informationization,0,11000,Undiscloused
2018,Apr,Apr 2018,Sundata,Edu. Informationization,28100,28100,Private Placement of Share
2016,Dec,Dec 2016,Codemao,STEAM,2000,2000,A
2017,Nov,Nov 2017,Codemao,STEAM,12000,12000,B
2017,May,May 2017,Codemao,STEAM,1500,1500,A+
2018,May,May 2018,Codemao,STEAM,30000,30000,C
2018,Jan,Jan 2018,Codemao,STEAM,0,12000,Strategic Investment
2014,Jun,Jun 2014,Afanti,K12,1000,1000,Seed/Angel
2014,Dec,Dec 2014,Afanti,K12,11466,11466,A
2015,Dec,Dec 2015,Afanti,K12,38220,38220,B
2016,Jan,Jan 2016,OneSmart International Education Group,K12,50000,50000,Pre-IPO
2014,Aug,Aug 2014,Xing Shuai Teach ,Vocational Edu.,19500,19500,B
2016,Apr,Apr 2016,Xing Shuai Teach ,Vocational Edu.,30000,30000,B
2015,Dec,Dec 2015,Zhihui Shu,Higher Edu.,0,2000,A
2016,Mar,Mar 2016,Zhihui Shu,Higher Edu.,0,10000,A+
2016,Oct,Oct 2016,Zhihui Shu,Higher Edu.,35000,35000,B
2014,Sep,Sep 2014,SmartStudy,Language Learning,6890,6890,A
2016,Oct,Oct 2016,SmartStudy,Language Learning,20000,20000,B
2017,Nov,Nov 2017,SmartStudy,Language Learning,20000,20000,B+
2015,Jun,Jun 2015,Xstudy,K12,12740,12740,B
2015,Jul,Jul 2015,Xstudy,K12,15288,15288,B+
2015,Jan,Jan 2015,Xstudy,K12,2000,2000,Pre-A
2016,Jun,Jun 2016,Xstudy,K12,12000,12000,C
2016,Jul,Jul 2016,Weidong Group Edu,Edu. Informationization,40000,40000,A
2018,Jul,Jul 2018,Jerry School,K12,13000,13000,A
2016,Jan,Jan 2016,Jerry School,K12,26000,26000,Pre-A
2015,Sep,Sep 2015,NeoBear,Early Childhood Edu.,12000,12000,A
2016,Oct,Oct 2016,NeoBear,Early Childhood Edu.,25000,25000,B
2016,Apr,Apr 2016,Chengzhangbao,Holistic Edu.,1000,1000,Pre-A
2017,Jul,Jul 2017,Chengzhangbao,Holistic Edu.,5000,5000,A
2018,Mar,Mar 2018,Chengzhangbao,Holistic Edu.,15000,15000,B
2018,May,May 2018,Chengzhangbao,Holistic Edu.,15000,15000,B+
2015,Jan,Jan 2015,贝斯特教育/网龙,K12,33443,33443,A
2014,Nov,Nov 2014,Kaishu Story,Early Childhood Edu.,800,800,Pre-A
2015,Nov,Nov 2015,Kaishu Story,Early Childhood Edu.,7200,7200,A
2017,May,May 2017,Kaishu Story,Early Childhood Edu.,9000,9000,B
2018,Mar,Mar 2018,Kaishu Story,Early Childhood Edu.,15600,15600,B
2016,Feb,Feb 2016,Koolearn,Language Learning,32000,32000,Pre-IPO
2015,Feb,Feb 2015,Genshuixue,K12,31850,31850,A
2014,Jul,Jul 2014,51talk,Language Learning,18330,18330,C
2015,Aug,Aug 2015,51talk,Language Learning,13000,13000,D
2014,Jun,Jun 2014,Sanhao,K12,1300,1300,Seed/Angel
2016,Oct,Oct 2016,Sanhao,K12,0,7500,A
2016,Mar,Mar 2016,Sanhao,K12,7500,7500,Pre-A
2017,Dec,Dec 2017,Sanhao,K12,15000,15000,B
2017,Jun,Jun 2017,cshd,Vocational Edu.,30000,30000,Undiscloused
2016,Aug,Aug 2016,Huohua,Holistic Edu.,0,6500,A
2018,May,May 2018,Huohua,Holistic Edu.,9750,9750,B
2018,Jun,Jun 2018,Huohua,Holistic Edu.,13000,13000,B+
2014,Apr,Apr 2014,Huivo,Early Childhood Edu.,1300,1300,A
2015,May,May 2015,Huivo,Early Childhood Edu.,12000,12000,B
2016,Apr,Apr 2016,Huivo,Early Childhood Edu.,15000,15000,B+
2016,Sep,Sep 2016,BellRobot,STEAM,8000,8000,A
2018,Mar,Mar 2018,BellRobot,STEAM,20000,20000,B
2014,Feb,Feb 2014,Onion Math,K12,0,800,Seed/Angel
2016,Jun,Jun 2016,Onion Math,K12,1950,1950,A
2015,Oct,Oct 2015,Onion Math,K12,2925,2925,A+
2017,May,May 2017,Onion Math,K12,9700,9700,B
2018,Feb,Feb 2018,Onion Math,K12,12000,12000,C
2015,Jun,Jun 2015,Mingshi EDU,K12,20000,20000,B
2017,Jul,Jul 2017,Mingshi EDU,K12,6900,6900,Undiscloused
2015,Jan,Jan 2015,Juesheng,Others,0,6800,B
2015,Nov,Nov 2015,Juesheng,Others,20000,20000,C
2018,May,May 2018,Sesame Street English,Language Learning,26200,26200,Strategic Investment
2014,Apr,Apr 2014,Mofangge,K12,0,6500,A
2016,Jan,Jan 2016,Mofangge,K12,2000,2000,B
2016,Nov,Nov 2016,Mofangge,K12,14800,14800,B+
2018,Mar,Mar 2018,Mofangge,K12,0,2000,C
2017,Jul,Jul 2017,itcast,Vocational Edu.,24700,24700,PE
2017,Nov,Nov 2017,Alo7,Language Learning,24375,24375,D
2015,Apr,Apr 2015,MakeBlock,STEAM,3900,3900,B
2017,Mar,Mar 2017,MakeBlock,STEAM,20000,20000,B
2017,Nov,Nov 2017,CC视频,Edu. SaaS,20080,20080,C
2018,May,May 2018,运动宝贝,Early Childhood Edu.,20000,20000,Strategic Investment
2018,Jan,Jan 2018,VIP陪练,Holistic Edu.,20000,20000,B
2016,Nov,Nov 2016,掌通家园,Early Childhood Edu.,20000,20000,C
2017,Dec,Dec 2017,校宝在线,Edu. SaaS,10000,10000,C
2018,May,May 2018,校宝在线,Edu. SaaS,10000,10000,C+
2018,Jan,Jan 2018,Find智慧钢琴,Holistic Edu.,20000,20000,A
2015,Jul,Jul 2015,贝乐学科英语,Language Learning,20000,20000,B
2015,Mar,Mar 2015,悠游堂,Early Childhood Edu.,20000,20000,Pre-IPO
2018,Jan,Jan 2018,七巧国,Early Childhood Edu.,20000,20000,Seed/Angel
2016,Dec,Dec 2016,欧美思,Edu. SaaS,5000,5000,A
2018,Feb,Feb 2018,欧美思,Edu. SaaS,15000,15000,B
2017,Jul,Jul 2017,瑞达法考,Vocational Edu.,19200,19200,Undiscloused
2015,Oct,Oct 2015,学科网,K12,19110,19110,Pre-IPO
2015,Oct,Oct 2015,The One 智能钢琴,Holistic Edu.,19110,19110,B
2016,Sep,Sep 2016,新道科技,Higher Edu.,18900,18900,B
2016,Jun,Jun 2016,在行（分答）,Paid Knowledge,16250,16250,A
2016,Nov,Nov 2016,在行（分答）,Paid Knowledge,2000,2000,A+
2016,Jun,Jun 2016,美联英语,Language Learning,17000,17000,PE
2017,Dec,Dec 2017,东方启音,Early Childhood Edu.,16250,16250,B
2017,Nov,Nov 2017,艺朝艺夕,Holistic Edu.,16000,16000,B
2016,Jul,Jul 2016,海风教育Hyphen,K12,1000,1000,A
2017,Jul,Jul 2017,海风教育Hyphen,K12,2000,2000,B
2018,Jan,Jan 2018,海风教育Hyphen,K12,13000,13000,C
2015,Sep,Sep 2015,乐乐课堂,K12,3185,3185,A
2015,Jun,Jun 2015,乐乐课堂,K12,12740,12740,B
2015,May,May 2015,请他教,K12,6950,6950,A
2015,Jul,Jul 2015,请他教,K12,8600,8600,A+
2014,Apr,Apr 2014,啄木鸟教育,Study Abroad Services,2500,2500,A
2015,Sep,Sep 2015,啄木鸟教育,Study Abroad Services,12740,12740,Strategic Investment
2015,Jul,Jul 2015,Yixue Eudcation,K12,3000,3000,Seed/Angel
2017,Mar,Mar 2017,Yixue Eudcation,K12,12000,12000,Seed/Angel
2018,Mar,Mar 2018,宝宝玩英语,Language Learning,15000,15000,B
2017,Apr,Apr 2017,云学堂,Vocational Edu.,14960,14960,B
2015,May,May 2015,美术宝,Holistic Edu.,3000,3000,A
2016,Jan,Jan 2016,美术宝,Holistic Edu.,6600,6600,B
2016,Sep,Sep 2016,美术宝,Holistic Edu.,5200,5200,B
2014,Sep,Sep 2014,极客学院,Vocational Edu.,14300,14300,B
2016,Jan,Jan 2016,老A电商学院,Vocational Edu.,14000,14000,A
2017,Dec,Dec 2017,小小包麻麻,Early Childhood Edu.,14000,14000,B
2016,Oct,Oct 2016,学乐云,Edu. Informationization,13600,13600,C
2017,Aug,Aug 2017,朴新教育,K12,13600,13600,B
2014,Dec,Dec 2014,果壳网,Others,13000,13000,C
2018,Feb,Feb 2018,育学园,Paid Knowledge,13000,13000,C+
2018,Mar,Mar 2018,考虫英语,Language Learning,13000,13000,C
2014,Dec,Dec 2014,我赢职场,Vocational Edu.,3000,3000,A
2015,Dec,Dec 2015,我赢职场,Vocational Edu.,2000,2000,Pre-B
2016,Dec,Dec 2016,我赢职场,Vocational Edu.,8000,8000,B
2014,Feb,Feb 2014,开课吧,Vocational Edu.,13000,13000,A
2018,May,May 2018,小码王,STEAM,13000,13000,B
2014,Aug,Aug 2014,超级课程表,Higher Edu.,13000,13000,B
2014,Jul,Jul 2014,万学教育,Vocational Edu.,13000,13000,C
2015,May,May 2015,乔布堂,Vocational Edu.,12740,12740,A
2015,Mar,Mar 2015,星空琴行,Holistic Edu.,12740,12740,C
2016,May,May 2016,兄弟连,Vocational Edu.,12500,12500,A
2015,Jun,Jun 2015,学乐,K12,2000,2000,A
2015,May,May 2015,学乐,K12,10000,10000,B
2014,Dec,Dec 2014,学堂在线,Higher Edu.,9750,9750,A
2015,Jul,Jul 2015,学堂在线,Higher Edu.,1760,1760,B
2015,Jun,Jun 2015,顺顺留学,Study Abroad Services,11466,11466,A
2015,Mar,Mar 2015,贝聊,Early Childhood Edu.,1274,1274,A
2016,Jan,Jan 2016,贝聊,Early Childhood Edu.,10000,10000,B
2016,Apr,Apr 2016,翼鸥教育,Edu. SaaS,3250,3250,A
2017,Mar,Mar 2017,翼鸥教育,Edu. SaaS,8000,8000,A+
2016,Jul,Jul 2016,阿卡索,Language Learning,3100,3100,A
2017,Oct,Oct 2017,阿卡索,Language Learning,8000,8000,B+
2017,Aug,Aug 2017,嗨课堂,K12,5000,5000,A
2018,Jan,Jan 2018,嗨课堂,K12,6000,6000,A+
2015,Jun,Jun 2015,麦淘亲子,Holistic Edu.,4000,4000,A
2017,Feb,Feb 2017,麦淘亲子,Holistic Edu.,7000,7000,B
2015,Nov,Nov 2015,麦子学院,Vocational Edu.,10000,10000,B
2017,Jan,Jan 2017,千锋互联,Vocational Edu.,10000,10000,Undiscloused
2017,Aug,Aug 2017,ACG艺术留学,Study Abroad Services,10000,10000,PE
2017,Oct,Oct 2017,恒一文化,Vocational Edu.,10000,10000,A
2014,Jun,Jun 2014,九龙蓝海科技,Early Childhood Edu.,10000,10000,A
2017,Nov,Nov 2017,火火兔,Early Childhood Edu.,10000,10000,A
2017,Dec,Dec 2017,上海易教,Edu. Informationization,10000,10000,A
2018,Jun,Jun 2018,神奇科学堂,STEAM,10000,10000,Pre-A
2016,Jul,Jul 2016,趣学车,Vocational Edu.,10000,10000,A
2016,Oct,Oct 2016,51CTO,Vocational Edu.,10000,10000,B
2017,Oct,Oct 2017,极课大数据,Edu. Informationization,10000,10000,B
2018,Feb,Feb 2018,凯斯国际幼儿园,Early Childhood Edu.,10000,10000,A
2015,Nov,Nov 2015,智慧树,Early Childhood Edu.,10000,10000,B
2017,Feb,Feb 2017,荷马教育,Holistic Edu.,10000,10000,A
2018,Feb,Feb 2018,新世相,Paid Knowledge,10000,10000,B
2014,Mar,Mar 2014,学尔森教育,Vocational Edu.,10000,10000,A
2018,Apr,Apr 2018,Snapask,K12,9750,9750,A+
2018,Feb,Feb 2018,站酷,Vocational Edu.,9750,9750,B+
2015,Jun,Jun 2015,诺贝儿教育,Early Childhood Edu.,2000,2000,A
2016,Oct,Oct 2016,诺贝儿教育,Early Childhood Edu.,7500,7500,B
2016,Jan,Jan 2016,微语言,Language Learning,1000,1000,Pre-A
2017,Feb,Feb 2017,微语言,Language Learning,5000,5000,A
2017,Aug,Aug 2017,微语言,Language Learning,3000,3000,A+
2017,Jul,Jul 2017,SIA国际艺术教育,Study Abroad Services,5000,5000,A
2018,Jan,Jan 2018,SIA国际艺术教育,Study Abroad Services,4000,4000,A+
2017,Jun,Jun 2017,咿啦看书,Early Childhood Edu.,5000,5000,A
2018,Jan,Jan 2018,咿啦看书,Early Childhood Edu.,4000,4000,A+
2016,Sep,Sep 2016,考拉阅读/享阅教育,K12,400,400,Seed/Angel
2017,Dec,Dec 2017,考拉阅读/享阅教育,K12,5200,5200,A
2017,Aug,Aug 2017,考拉阅读/享阅教育,K12,3000,3000,Pre-A
2018,Jun,Jun 2018,VIPCODE编程,STEAM,8500,8500,A
2018,Jan,Jan 2018,火星时代,Vocational Edu.,8415,8415,Strategic Investment
2015,Apr,Apr 2015,北风网,Vocational Edu.,6400,6400,B
2018,Jan,Jan 2018,北风网,Vocational Edu.,2000,2000,B+
2016,May,May 2016,课栈网,Paid Knowledge,8000,8000,A
2016,Sep,Sep 2016,能力天空,Edu. SaaS,8000,8000,C
2017,May,May 2017,有养传媒,Paid Knowledge,2000,2000,Pre-A
2018,Mar,Mar 2018,有养传媒,Paid Knowledge,6000,6000,A
2018,Jun,Jun 2018,皮皮鱼少儿英语,Language Learning,8000,8000,Pre-A
2017,Oct,Oct 2017,平行线教育,K12,8000,8000,A
2014,Jun,Jun 2014,世纪明德教育,Study Abroad Services,0,2000,A
2015,Jan,Jan 2015,世纪明德教育,Study Abroad Services,0,2000,B
2018,May,May 2018,世纪明德教育,Study Abroad Services,3724,3724,Private Placement of Share
2017,Mar,Mar 2017,纽诺育儿,Early Childhood Edu.,1000,1000,Pre-A
2018,Apr,Apr 2018,纽诺育儿,Early Childhood Edu.,6500,6500,A
2015,Jan,Jan 2015,老师好-师全师美,K12,0,1000,A
2015,Apr,Apr 2015,老师好-师全师美,K12,6370,6370,A
2017,Jul,Jul 2017,婷婷姐姐,Early Childhood Edu.,2200,2200,Seed/Angel
2018,Jun,Jun 2018,婷婷姐姐,Early Childhood Edu.,5000,5000,A
2014,Oct,Oct 2014,寓乐湾,STEAM,1000,1000,A
2015,Jul,Jul 2015,寓乐湾,STEAM,2000,2000,B
2016,Apr,Apr 2016,寓乐湾,STEAM,2000,2000,A
2017,May,May 2017,寓乐湾,STEAM,2000,2000,B
2015,Jun,Jun 2015,选师无忧,K12,1000,1000,A
2016,May,May 2016,选师无忧,K12,6000,6000,A
2017,Sep,Sep 2017,YBDL,Holistic Edu.,2000,2000,A
2018,Mar,Mar 2018,YBDL,Holistic Edu.,5000,5000,A+
2018,Apr,Apr 2018,洛克公园,Holistic Edu.,7000,7000,B+
2014,Aug,Aug 2014,智课网,Language Learning,6890,6890,A
2017,Apr,Apr 2017,荔枝微课,Paid Knowledge,6800,6800,A
2016,Sep,Sep 2016,乐思塾,Early Childhood Edu.,6600,6600,B
2016,Jan,Jan 2016,唯医网,Vocational Edu.,6500,6500,A
2018,Jun,Jun 2018,土豆雅思,Language Learning,6500,6500,Pre-A
2014,Feb,Feb 2014,真朴教育,Holistic Edu.,6500,6500,A
2015,Sep,Sep 2015,学信科技,Edu. Informationization,6500,6500,A
2018,May,May 2018,溢米辅导,K12,6500,6500,B
2018,May,May 2018,彩贝壳,Early Childhood Edu.,6500,6500,A
2015,Apr,Apr 2015,凡学教育,Early Childhood Edu.,6370,6370,A
2018,Feb,Feb 2018,潭州教育,Vocational Edu.,6300,6300,A
2015,Nov,Nov 2015,狸米学习,K12,1274,1274,Seed/Angel
2016,Dec,Dec 2016,狸米学习,K12,5000,5000,A
2015,May,May 2015,Hive游学,Study Abroad Services,4141,4141,A
2015,Jul,Jul 2015,Hive游学,Study Abroad Services,1911,1911,Seed/Angel
2018,Apr,Apr 2018,乐乐趣,Early Childhood Edu.,6006,6006,Private Placement of Share
2017,Jul,Jul 2017,袋鼠麻麻 / 铭诗教育,Early Childhood Edu.,2000,2000,Pre-A
2018,Jun,Jun 2018,袋鼠麻麻 / 铭诗教育,Early Childhood Edu.,2000,2000,A
2018,May,May 2018,袋鼠麻麻 / 铭诗教育,Early Childhood Edu.,0,2000,A
2017,Jan,Jan 2017,十点读书,Paid Knowledge,6000,6000,A
2017,Aug,Aug 2017,图零直播,Vocational Edu.,6000,6000,B
2017,Mar,Mar 2017,顶上英语,Language Learning,2000,2000,A
2018,May,May 2018,顶上英语,Language Learning,2000,2000,A+
2018,Apr,Apr 2018,顶上英语,Language Learning,0,2000,B
2018,Apr,Apr 2018,美世教育,Study Abroad Services,6000,6000,A
2016,Jan,Jan 2016,致优教育,K12,6000,6000,A
2018,Apr,Apr 2018,百家云,Edu. SaaS,6000,6000,A+
2017,Mar,Mar 2017,小牛顿,Early Childhood Edu.,6000,6000,Pre-A
2017,Jul,Jul 2017,企鹅童话,Early Childhood Edu.,2000,2000,Pre-A
2018,May,May 2018,企鹅童话,Early Childhood Edu.,4000,4000,A
2017,Jan,Jan 2017,北教文化,K12,5910,5910,PE
2018,Jan,Jan 2018,迈格森国际教育,Language Learning,5635,5635,Seed/Angel
2017,Mar,Mar 2017,蓝帕科技,Edu. Informationization,5400,5400,A
2018,Mar,Mar 2018,彩虹蜗牛,Holistic Edu.,5100,5100,A
2016,Sep,Sep 2016,时代智囊,K12,5000,5000,A
2018,May,May 2018,原醉chic,Paid Knowledge,5000,5000,B
2016,Jul,Jul 2016,异乡好居,Study Abroad Services,5000,5000,A
2016,Feb,Feb 2016,远景同程,Edu. Informationization,5000,5000,A
2016,Nov,Nov 2016,金英杰教育,Vocational Edu.,5000,5000,B
2015,Apr,Apr 2015,360教育集团,Study Abroad Services,5000,5000,A
2017,Aug,Aug 2017,魔力耳朵,Language Learning,4000,4000,A
2017,Mar,Mar 2017,魔力耳朵,Language Learning,1000,1000,Seed/Angel
2017,Jan,Jan 2017,南京储君教育,Early Childhood Edu.,5000,5000,Undiscloused
2018,Mar,Mar 2018,绿橙幼儿园,Early Childhood Edu.,5000,5000,A
2017,Jul,Jul 2017,UniCareer,Vocational Edu.,5000,5000,B
2018,Mar,Mar 2018,西瓜创客,STEAM,5000,5000,A
2017,Jul,Jul 2017,未来大师,Holistic Edu.,5000,5000,Seed/Angel
2016,May,May 2016,财金通,Vocational Edu.,4767,4767,A
2018,Apr,Apr 2018,校管家,Edu. SaaS,4600,4600,A
2018,May,May 2018,光华教育,K12,4560,4560,Private Placement of Share
2015,Jul,Jul 2015,顶你学堂TopU-过来人教育,Higher Edu.,4500,4500,B
2015,Jun,Jun 2015,智园控股-创课Tronclass,Higher Edu.,2218,2218,A
2015,Aug,Aug 2015,智园控股-创课Tronclass,Higher Edu.,2218,2218,B
2016,Jul,Jul 2016,轻课,Language Learning,1100,1100,Pre-A
2017,Jul,Jul 2017,轻课,Language Learning,3300,3300,A
2017,Jun,Jun 2017,诺博教育,Early Childhood Edu.,4290,4290,A
2015,Nov,Nov 2015,一米辅导,K12,1000,1000,Seed/Angel
2017,Mar,Mar 2017,一米辅导,K12,3000,3000,Undiscloused
2017,Jan,Jan 2017,先声教育,Language Learning,2000,2000,Pre-A
2018,Mar,Mar 2018,先声教育,Language Learning,2000,2000,A
2015,Jan,Jan 2015,易题库,K12,2000,2000,A
2015,Jun,Jun 2015,易题库,K12,2000,2000,A
2017,Jul,Jul 2017,晓羊教育,Edu. Informationization,2000,2000,A+
2018,May,May 2018,晓羊教育,Edu. Informationization,2000,2000,A+
2016,May,May 2016,知鸟游学,Study Abroad Services,2000,2000,A
2017,Feb,Feb 2017,知鸟游学,Study Abroad Services,2000,2000,Undiscloused
2017,May,May 2017,百通世纪,Vocational Edu.,2000,2000,Pre-A
2018,May,May 2018,百通世纪,Vocational Edu.,2000,2000,A
2015,May,May 2015,易观企业教育,Vocational Edu.,4000,4000,A
2015,May,May 2015,宝宝巴士Baby Bus,Early Childhood Edu.,4000,4000,B
2014,Dec,Dec 2014,麦可在线,Early Childhood Edu.,4000,4000,Undiscloused
2016,Sep,Sep 2016,myOffer,Study Abroad Services,2000,2000,A
2017,Nov,Nov 2017,myOffer,Study Abroad Services,2000,2000,A+
2017,Apr,Apr 2017,飞博教育,Language Learning,2000,2000,A+
2018,May,May 2018,飞博教育,Language Learning,2000,2000,Strategic Investment
2015,May,May 2015,容艺教育,Vocational Edu.,2000,2000,Strategic Investment
2016,Dec,Dec 2016,容艺教育,Vocational Edu.,2000,2000,B
2017,Aug,Aug 2017,西普教育,Higher Edu.,4000,4000,PE
2014,Oct,Oct 2014,计蒜客,Vocational Edu.,2000,2000,Pre-A
2018,Jun,Jun 2018,计蒜客,Vocational Edu.,2000,2000,B
2016,May,May 2016,中国教育在线,Paid Knowledge,3840,3840,A
2015,May,May 2015,BoniO（中国台湾）,K12,3822,3822,Strategic Investment
2016,Sep,Sep 2016,格如灵,Edu. Informationization,600,600,Seed/Angel
2017,May,May 2017,格如灵,Edu. Informationization,1000,1000,Pre-A
2018,May,May 2018,格如灵,Edu. Informationization,2000,2000,A
2018,Mar,Mar 2018,起航股份,Vocational Edu.,3528,3528,Private Placement of Share
2018,Apr,Apr 2018,外教易教育,Language Learning,3000,3000,Pre-A
2018,Mar,Mar 2018,外教易教育,Language Learning,500,500,Seed/Angel
2016,Dec,Dec 2016,青橙创客教育,STEAM,1000,1000,Pre-A
2018,Apr,Apr 2018,青橙创客教育,STEAM,2400,2400,A
2018,Jun,Jun 2018,育星教育,Holistic Edu.,3311.45,3311.45,A
2015,Jun,Jun 2015,wisdom garden,Higher Edu.,3300,3300,A
2016,Mar,Mar 2016,小知科技,K12,3250,3250,Seed/Angel
2014,Nov,Nov 2014,大家汇,Edu. Informationization,3250,3250,A
2016,Apr,Apr 2016,Finger,Holistic Edu.,3250,3250,A
2014,Mar,Mar 2014,快乐学,K12,3250,3250,A
2016,Jun,Jun 2016,申请方,Higher Edu.,3250,3250,A
2017,Jan,Jan 2017,火星人俱乐部,STEAM,2000,2000,A
2017,Nov,Nov 2017,火星人俱乐部,STEAM,200,200,PE
2018,Jun,Jun 2018,火星人俱乐部,STEAM,1000,1000,A+
2015,Jul,Jul 2015,看娃娃,Early Childhood Edu.,3000,3000,Pre-A
2015,Jul,Jul 2015,看娃娃,Early Childhood Edu.,200,200,Seed/Angel
2015,Aug,Aug 2015,少年商学院,Holistic Edu.,200,200,Pre-A
2018,Apr,Apr 2018,少年商学院,Holistic Edu.,3000,3000,A
2015,Aug,Aug 2015,画啦啦少儿美术课堂,Holistic Edu.,200,200,Seed/Angel
2017,Aug,Aug 2017,画啦啦少儿美术课堂,Holistic Edu.,1000,1000,A
2018,Jun,Jun 2018,画啦啦少儿美术课堂,Holistic Edu.,2000,2000,A+
2016,Jul,Jul 2016,职业蛙,Vocational Edu.,1200,1200,A
2017,May,May 2017,职业蛙,Vocational Edu.,2000,2000,B
2015,Jun,Jun 2015,卓识成就,Holistic Edu.,3185,3185,Seed/Angel
2016,Apr,Apr 2016,SK皇家少儿英语,Language Learning,3000,3000,A
2016,Feb,Feb 2016,北美留学生日报,Study Abroad Services,1000,1000,Pre-A
2017,Nov,Nov 2017,北美留学生日报,Study Abroad Services,2000,2000,A
2014,Oct,Oct 2014,山姆大叔少儿英语,Language Learning,3000,3000,Undiscloused
2016,Jul,Jul 2016,牛客网,Vocational Edu.,1000,1000,A
2018,Mar,Mar 2018,牛客网,Vocational Edu.,2000,2000,A
2015,Nov,Nov 2015,童伴教育,Early Childhood Edu.,1000,1000,A
2015,Dec,Dec 2015,童伴教育,Early Childhood Edu.,2000,2000,A
2016,Dec,Dec 2016,睿聚教育,Vocational Edu.,3000,3000,A
2018,Apr,Apr 2018,工程师爸爸,Early Childhood Edu.,3000,3000,B
2018,May,May 2018,科学队长,STEAM,3000,3000,A
2018,Feb,Feb 2018,青岛培诺教育,Study Abroad Services,3000,3000,Private Placement of Share
2015,Jul,Jul 2015,动吧体育,Holistic Edu.,3000,3000,A
2017,Dec,Dec 2017,高徒教育,K12,3000,3000,Pre-A
2016,Sep,Sep 2016,课外喵,K12,3000,3000,A
2018,Jun,Jun 2018,鲸打卡,Paid Knowledge,2000,2000,A
2018,Apr,Apr 2018,鲸打卡,Paid Knowledge,1000,1000,Pre-A
2014,Aug,Aug 2014,跨考锐职,Vocational Edu.,3000,3000,Undiscloused
2016,Oct,Oct 2016,三节课,Vocational Edu.,1000,1000,Pre-A
2018,Mar,Mar 2018,三节课,Vocational Edu.,2000,2000,A
2016,Oct,Oct 2016,夏加儿,Holistic Edu.,2000,2000,A
2017,Jan,Jan 2017,夏加儿,Holistic Edu.,1000,1000,A+
2015,May,May 2015,能动英语,Language Learning,3000,3000,Strategic Investment
2015,Jun,Jun 2015,名师宝,K12,3000,3000,Seed/Angel
2017,Sep,Sep 2017,微视酷,Edu. Informationization,3000,3000,A
2018,Apr,Apr 2018,超优教育,K12,3000,3000,A
2017,Aug,Aug 2017,方圆众合教育,Vocational Edu.,3000,3000,A
2017,Feb,Feb 2017,慕华尚测,K12,3000,3000,Undiscloused
2016,May,May 2016,壹医考,Vocational Edu.,900,900,A
2016,Dec,Dec 2016,壹医考,Vocational Edu.,2000,2000,A
2016,Dec,Dec 2016,多乐小熊,Early Childhood Edu.,0,800,Seed/Angel
2018,Apr,Apr 2018,多乐小熊,Early Childhood Edu.,2000,2000,Strategic Investment
2014,Dec,Dec 2014,叽里呱啦,Language Learning,0,800,Undiscloused
2016,Apr,Apr 2016,叽里呱啦,Language Learning,2000,2000,A
2014,Oct,Oct 2014,鲨鱼公园,STEAM,0,800,Undiscloused
2016,Mar,Mar 2016,鲨鱼公园,STEAM,2000,2000,A
2015,Jul,Jul 2015,嘿哈科技,Early Childhood Edu.,0,800,Seed/Angel
2016,May,May 2016,嘿哈科技,Early Childhood Edu.,2000,2000,A
2018,Jun,Jun 2018,闪闪课堂,Early Childhood Edu.,2800,2800,A+
2014,Apr,Apr 2014,乐博乐博机器人,STEAM,1000,1000,Pre-A
2015,Apr,Apr 2015,乐博乐博机器人,STEAM,1800,1800,Strategic Investment
2018,Jan,Jan 2018,海伦七彩,Holistic Edu.,2636,2636,Strategic Investment
2018,Jun,Jun 2018,园钉,Edu. Informationization,2000,2000,A
2018,Jan,Jan 2018,园钉,Edu. Informationization,600,600,Seed/Angel
2015,Sep,Sep 2015,乐学高考,K12,2548,2548,Seed/Angel
2018,Jun,Jun 2018,微课之家,Edu. Informationization,2500,2500,Pre-A
2015,Sep,Sep 2015,起点学院,Vocational Edu.,200,200,Seed/Angel
2017,Jul,Jul 2017,起点学院,Vocational Edu.,2250,2250,A
2015,Jun,Jun 2015,校讯通/河北皇典,K12,2450,2450,A
2016,Apr,Apr 2016,鹦鹉螺,K12,2400,2400,A
2017,Aug,Aug 2017,读伴儿,Language Learning,2400,2400,Pre-A
